data, year, price, deal
2020-11-23, 中海康城, 2002, 0, 9
2020-11-23, 美林湖畔花园, 2002, 0, 10
2020-11-23, 美林海岸花园, 2002, 0, 16
2020-11-23, 中怡城市花园, 2002, 0, 5
2020-11-23, 保利心语花园, 2004, 0, 5
2020-11-23, 中海花城湾, 2005, 0, 4
2020-11-23, 城市假日园, 2004, 0, 7
2020-11-23, 阳光假日园, 2003, 0, 5
2020-11-23, 旭景家园, 2001, 0, 5
2020-11-23, 都市兰亭花园, 2002, 0, 2
2020-11-23, 翠拥华庭锋尚, 2008, 0, 6
2020-11-23, 华景新城信华花园, 2002, 0, 1
2020-11-23, 天健上城, 2011, 0, 3
2020-11-23, 橡树园, 2004, 0, 3
2020-11-23, 兰亭盛荟, 2013, 0, 0
2020-11-23, 南国花园, 2001, 0, 1
2020-11-23, 嘉裕公馆, 2015, 0, 5
2020-11-23, 豪景花园, 2004, 0, 0
2020-11-23, 芳草园, 2004, 0, 0
2020-11-23, 时尚明苑, 2006, 0, 2
2020-11-23, 远洋明苑, 2003, 0, 5
2020-11-23, 万科云城米酷, 2015, 0, 13
2020-11-23, 马赛国际公寓, 2005, 0, 10
2020-11-23, 铂林国际公寓, 2005, 0, 7
2020-11-23, 星汇云锦, 2008, 0, 3
2020-11-23, 东璟花园, 2004, 0, 3
2020-11-23, 易丰大厦, 2010, 0, 5
2020-11-23, 协和新世界, 2003, 0, 1
2020-11-23, 汇峰苑, 2008, 0, 3
2020-11-23, 南兴花园(天河区), 2003, 0, 2
2020-11-23, 中海康城, 2002, 0, 9
2020-11-23, 美林湖畔花园, 2002, 0, 10
2020-11-23, 美林海岸花园, 2002, 0, 16
2020-11-23, 中怡城市花园, 2002, 0, 5
2020-11-23, 保利心语花园, 2004, 0, 5
2020-11-23, 中海花城湾, 2005, 0, 4
2020-11-23, 城市假日园, 2004, 0, 7
2020-11-23, 阳光假日园, 2003, 0, 5
2020-11-23, 旭景家园, 2001, 0, 5
2020-11-23, 都市兰亭花园, 2002, 0, 2
2020-11-23, 翠拥华庭锋尚, 2008, 0, 6
2020-11-23, 华景新城信华花园, 2002, 0, 1
2020-11-23, 天健上城, 2011, 0, 3
2020-11-23, 橡树园, 2004, 0, 3
2020-11-23, 兰亭盛荟, 2013, 0, 0
2020-11-23, 南国花园, 2001, 0, 1
2020-11-23, 嘉裕公馆, 2015, 0, 5
2020-11-23, 豪景花园, 2004, 0, 0
2020-11-23, 芳草园, 2004, 0, 0
2020-11-23, 时尚明苑, 2006, 0, 2
2020-11-23, 远洋明苑, 2003, 0, 5
2020-11-23, 万科云城米酷, 2015, 0, 13
2020-11-23, 马赛国际公寓, 2005, 0, 10
2020-11-23, 铂林国际公寓, 2005, 0, 7
2020-11-23, 星汇云锦, 2008, 0, 3
2020-11-23, 东璟花园, 2004, 0, 3
2020-11-23, 易丰大厦, 2010, 0, 5
2020-11-23, 协和新世界, 2003, 0, 1
2020-11-23, 汇峰苑, 2008, 0, 3
2020-11-23, 南兴花园(天河区), 2003, 0, 2
2020-11-23, 中海康城, 2002, 0, 9
2020-11-23, 美林湖畔花园, 2002, 0, 10
2020-11-23, 美林海岸花园, 2002, 0, 16
2020-11-23, 中怡城市花园, 2002, 0, 5
2020-11-23, 保利心语花园, 2004, 0, 5
2020-11-23, 中海花城湾, 2005, 0, 4
2020-11-23, 城市假日园, 2004, 0, 7
2020-11-23, 阳光假日园, 2003, 0, 5
2020-11-23, 旭景家园, 2001, 0, 5
2020-11-23, 都市兰亭花园, 2002, 0, 2
2020-11-23, 翠拥华庭锋尚, 2008, 0, 6
2020-11-23, 华景新城信华花园, 2002, 0, 1
2020-11-23, 天健上城, 2011, 0, 3
2020-11-23, 橡树园, 2004, 0, 3
2020-11-23, 兰亭盛荟, 2013, 0, 0
2020-11-23, 南国花园, 2001, 0, 1
2020-11-23, 嘉裕公馆, 2015, 0, 5
2020-11-23, 豪景花园, 2004, 0, 0
2020-11-23, 芳草园, 2004, 0, 0
2020-11-23, 时尚明苑, 2006, 0, 2
2020-11-23, 远洋明苑, 2003, 0, 5
2020-11-23, 万科云城米酷, 2015, 0, 13
2020-11-23, 马赛国际公寓, 2005, 0, 10
2020-11-23, 铂林国际公寓, 2005, 0, 7
2020-11-23, 星汇云锦, 2008, 0, 3
2020-11-23, 东璟花园, 2004, 0, 3
2020-11-23, 易丰大厦, 2010, 0, 5
2020-11-23, 协和新世界, 2003, 0, 1
2020-11-23, 汇峰苑, 2008, 0, 3
2020-11-23, 南兴花园(天河区), 2003, 0, 2
2020-11-23, 中海康城, 2002, 0, 9
2020-11-23, 美林湖畔花园, 2002, 0, 10
2020-11-23, 美林海岸花园, 2002, 0, 16
2020-11-23, 中怡城市花园, 2002, 0, 5
2020-11-23, 保利心语花园, 2004, 0, 5
2020-11-23, 中海花城湾, 2005, 0, 4
2020-11-23, 城市假日园, 2004, 0, 7
2020-11-23, 阳光假日园, 2003, 0, 5
2020-11-23, 旭景家园, 2001, 0, 5
2020-11-23, 都市兰亭花园, 2002, 0, 2
2020-11-23, 翠拥华庭锋尚, 2008, 0, 6
2020-11-23, 华景新城信华花园, 2002, 0, 1
2020-11-23, 天健上城, 2011, 0, 3
2020-11-23, 橡树园, 2004, 0, 3
2020-11-23, 兰亭盛荟, 2013, 0, 0
2020-11-23, 南国花园, 2001, 0, 1
2020-11-23, 嘉裕公馆, 2015, 0, 5
2020-11-23, 豪景花园, 2004, 0, 0
2020-11-23, 芳草园, 2004, 0, 0
2020-11-23, 时尚明苑, 2006, 0, 2
2020-11-23, 远洋明苑, 2003, 0, 5
2020-11-23, 万科云城米酷, 2015, 0, 13
2020-11-23, 马赛国际公寓, 2005, 0, 10
2020-11-23, 铂林国际公寓, 2005, 0, 7
2020-11-23, 星汇云锦, 2008, 0, 3
2020-11-23, 东璟花园, 2004, 0, 3
2020-11-23, 易丰大厦, 2010, 0, 5
2020-11-23, 协和新世界, 2003, 0, 1
2020-11-23, 汇峰苑, 2008, 0, 3
2020-11-23, 南兴花园(天河区), 2003, 0, 2
2020-11-23, 中海康城, 2002, 0, 9
2020-11-23, 美林湖畔花园, 2002, 0, 10
2020-11-23, 美林海岸花园, 2002, 0, 16
2020-11-23, 中怡城市花园, 2002, 0, 5
2020-11-23, 保利心语花园, 2004, 0, 5
2020-11-23, 中海花城湾, 2005, 0, 4
2020-11-23, 城市假日园, 2004, 0, 7
2020-11-23, 阳光假日园, 2003, 0, 5
2020-11-23, 旭景家园, 2001, 0, 5
2020-11-23, 都市兰亭花园, 2002, 0, 2
2020-11-23, 翠拥华庭锋尚, 2008, 0, 6
2020-11-23, 华景新城信华花园, 2002, 0, 1
2020-11-23, 天健上城, 2011, 0, 3
2020-11-23, 橡树园, 2004, 0, 3
2020-11-23, 兰亭盛荟, 2013, 0, 0
2020-11-23, 南国花园, 2001, 0, 1
2020-11-23, 嘉裕公馆, 2015, 0, 5
2020-11-23, 豪景花园, 2004, 0, 0
2020-11-23, 芳草园, 2004, 0, 0
2020-11-23, 时尚明苑, 2006, 0, 2
2020-11-23, 远洋明苑, 2003, 0, 5
2020-11-23, 万科云城米酷, 2015, 0, 13
2020-11-23, 马赛国际公寓, 2005, 0, 10
2020-11-23, 铂林国际公寓, 2005, 0, 7
2020-11-23, 星汇云锦, 2008, 0, 3
2020-11-23, 东璟花园, 2004, 0, 3
2020-11-23, 易丰大厦, 2010, 0, 5
2020-11-23, 协和新世界, 2003, 0, 1
2020-11-23, 汇峰苑, 2008, 0, 3
2020-11-23, 南兴花园(天河区), 2003, 0, 2
2020-11-23, 中海康城, 2002, 0, 9
2020-11-23, 美林湖畔花园, 2002, 0, 10
2020-11-23, 美林海岸花园, 2002, 0, 16
2020-11-23, 中怡城市花园, 2002, 0, 5
2020-11-23, 保利心语花园, 2004, 0, 5
2020-11-23, 中海花城湾, 2005, 0, 4
2020-11-23, 城市假日园, 2004, 0, 7
2020-11-23, 阳光假日园, 2003, 0, 5
2020-11-23, 旭景家园, 2001, 0, 5
2020-11-23, 都市兰亭花园, 2002, 0, 2
2020-11-23, 翠拥华庭锋尚, 2008, 0, 6
2020-11-23, 华景新城信华花园, 2002, 0, 1
2020-11-23, 天健上城, 2011, 0, 3
2020-11-23, 橡树园, 2004, 0, 3
2020-11-23, 兰亭盛荟, 2013, 0, 0
2020-11-23, 南国花园, 2001, 0, 1
2020-11-23, 嘉裕公馆, 2015, 0, 5
2020-11-23, 豪景花园, 2004, 0, 0
2020-11-23, 芳草园, 2004, 0, 0
2020-11-23, 时尚明苑, 2006, 0, 2
2020-11-23, 远洋明苑, 2003, 0, 5
2020-11-23, 万科云城米酷, 2015, 0, 13
2020-11-23, 马赛国际公寓, 2005, 0, 10
2020-11-23, 铂林国际公寓, 2005, 0, 7
2020-11-23, 星汇云锦, 2008, 0, 3
2020-11-23, 东璟花园, 2004, 0, 3
2020-11-23, 易丰大厦, 2010, 0, 5
2020-11-23, 协和新世界, 2003, 0, 1
2020-11-23, 汇峰苑, 2008, 0, 3
2020-11-23, 南兴花园(天河区), 2003, 0, 2
2020-11-23, 中海康城, 2002, 0, 9
2020-11-23, 美林湖畔花园, 2002, 0, 10
2020-11-23, 美林海岸花园, 2002, 0, 16
2020-11-23, 中怡城市花园, 2002, 0, 5
2020-11-23, 保利心语花园, 2004, 0, 5
2020-11-23, 中海花城湾, 2005, 0, 4
2020-11-23, 城市假日园, 2004, 0, 7
2020-11-23, 阳光假日园, 2003, 0, 5
2020-11-23, 旭景家园, 2001, 0, 5
2020-11-23, 都市兰亭花园, 2002, 0, 2
2020-11-23, 翠拥华庭锋尚, 2008, 0, 6
2020-11-23, 华景新城信华花园, 2002, 0, 1
2020-11-23, 天健上城, 2011, 0, 3
2020-11-23, 橡树园, 2004, 0, 3
2020-11-23, 兰亭盛荟, 2013, 0, 0
2020-11-23, 南国花园, 2001, 0, 1
2020-11-23, 嘉裕公馆, 2015, 0, 5
2020-11-23, 豪景花园, 2004, 0, 0
2020-11-23, 芳草园, 2004, 0, 0
2020-11-23, 时尚明苑, 2006, 0, 2
2020-11-23, 远洋明苑, 2003, 0, 5
2020-11-23, 万科云城米酷, 2015, 0, 13
2020-11-23, 马赛国际公寓, 2005, 0, 10
2020-11-23, 铂林国际公寓, 2005, 0, 7
2020-11-23, 星汇云锦, 2008, 0, 3
2020-11-23, 东璟花园, 2004, 0, 3
2020-11-23, 易丰大厦, 2010, 0, 5
2020-11-23, 协和新世界, 2003, 0, 1
2020-11-23, 汇峰苑, 2008, 0, 3
2020-11-23, 南兴花园(天河区), 2003, 0, 2
2020-11-23, 中海康城, 2002, 0, 9
2020-11-23, 美林湖畔花园, 2002, 0, 10
2020-11-23, 美林海岸花园, 2002, 0, 16
2020-11-23, 中怡城市花园, 2002, 0, 5
2020-11-23, 保利心语花园, 2004, 0, 5
2020-11-23, 中海花城湾, 2005, 0, 4
2020-11-23, 城市假日园, 2004, 0, 7
2020-11-23, 阳光假日园, 2003, 0, 5
2020-11-23, 旭景家园, 2001, 0, 5
2020-11-23, 都市兰亭花园, 2002, 0, 2
2020-11-23, 翠拥华庭锋尚, 2008, 0, 6
2020-11-23, 华景新城信华花园, 2002, 0, 1
2020-11-23, 天健上城, 2011, 0, 3
2020-11-23, 橡树园, 2004, 0, 3
2020-11-23, 兰亭盛荟, 2013, 0, 0
2020-11-23, 南国花园, 2001, 0, 1
2020-11-23, 嘉裕公馆, 2015, 0, 5
2020-11-23, 豪景花园, 2004, 0, 0
2020-11-23, 芳草园, 2004, 0, 0
2020-11-23, 时尚明苑, 2006, 0, 2
2020-11-23, 远洋明苑, 2003, 0, 5
2020-11-23, 万科云城米酷, 2015, 0, 13
2020-11-23, 马赛国际公寓, 2005, 0, 10
2020-11-23, 铂林国际公寓, 2005, 0, 7
2020-11-23, 星汇云锦, 2008, 0, 3
2020-11-23, 东璟花园, 2004, 0, 3
2020-11-23, 易丰大厦, 2010, 0, 5
2020-11-23, 协和新世界, 2003, 0, 1
2020-11-23, 汇峰苑, 2008, 0, 3
2020-11-23, 南兴花园(天河区), 2003, 0, 2
